,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
0,litecoin-ethereum,4.852111099999999,184.5193495187006,2.629594735,bittrex,xbtce,0.1979889,5.0501
1,peercoin-bitcoin,6.460000000000016e-06,0.8830867024366926,0.000731525,xbtce,bittrex,0.00073,0.00073646
2,bytecoin-bitcoin,1.2000000000000002e-07,22.629411949586704,5.302833333333333e-07,cryptopia,poloniex,4.9e-07,6.1e-07
3,dash-bitcoin,0.000364169999999997,0.5207292980106588,0.06993460928571428,cryptopia,poloniex,0.0697355,0.07009967
4,ethereum-bitcoin,0.0005433600000000066,0.6562735805289986,0.08279473928571428,cryptopia,bitfinex,0.08242564,0.082969
5,lisk-bitcoin,3.839999999999963e-06,0.5166799723719688,0.0007432066666666666,bittrex,poloniex,0.00074031,0.00074415
6,iconomi-bitcoin,1.0000000000000026e-05,0.8474576271186464,0.00118,kraken,hitbtc,0.00117,0.00118
7,iconomi-bitcoin,9.00000000000011e-06,0.7657945118060081,0.00117525,kraken,hitbtc,0.001171,0.00118
8,burst-bitcoin,1.7000000000000007e-07,4.342273307790552,3.915e-06,poloniex,bittrex,3.83e-06,4e-06
9,bytecoin-bitcoin,1.1020000000000002e-07,20.935313301459647,5.263833333333334e-07,hitbtc,poloniex,4.898e-07,6e-07
10,decred-bitcoin,0.00011371999999999945,1.1180035071149945,0.010171703333333332,cryptopia,bittrex,0.01014437,0.01025809
11,nautiluscoin-bitcoin,1.170000000000004e-06,1.402667465907393,8.341249999999999e-05,poloniex,bittrex,8.271e-05,8.388e-05
12,navcoin-bitcoin,5.299999999999966e-07,0.5159489891942727,0.00010272333333333332,poloniex,cryptopia,0.00010228,0.00010281
13,nexium-bitcoin,3.6999999999999815e-07,0.5100985731026375,7.253500000000001e-05,bittrex,poloniex,7.25e-05,7.287e-05
14,nxt-bitcoin,2.899999999999989e-07,0.6237006237006213,4.649666666666667e-05,bittrex,hitbtc,4.633e-05,4.662e-05
15,pascalcoin-bitcoin,2.6619999999999986e-05,12.812552643611767,0.000207765,poloniex,cryptopia,0.00019279,0.00021941
16,vcash-bitcoin,9.360000000000005e-06,7.916437603078618,0.00011823500000000001,poloniex,bittrex,0.00011266,0.00012202
17,litecoin-ethereum,4.84701103,184.40588989283862,2.6284469725,bittrex,xbtce,0.19798897,5.045
18,namecoin-bitcoin,6.110000000000035e-06,0.750714161385119,0.0008138916666666666,cryptopia,poloniex,0.00081199,0.0008181
19,bytecoin-bitcoin,1.1749999999999993e-07,22.41938561343254,5.241e-07,hitbtc,poloniex,4.825e-07,6e-07
20,lisk-bitcoin,4.640000000000091e-06,0.6154471940117817,0.0007539233333333333,bittrex,poloniex,0.00075399,0.00075863
21,nxt-bitcoin,3.7999999999999975e-07,0.8319346128584976,4.567666666666667e-05,poloniex,hitbtc,4.552e-05,4.59e-05
22,iconomi-bitcoin,7.999999999999978e-06,0.6798385383471405,0.0011767500000000003,kraken,hitbtc,0.001172,0.00118
23,burst-bitcoin,1.099999999999998e-07,2.846054333764549,3.864999999999999e-06,poloniex,bittrex,3.8e-06,3.91e-06
24,bytecoin-bitcoin,1.1499999999999996e-07,21.923553522066523,5.2455e-07,hitbtc,poloniex,4.85e-07,6e-07
25,ethereum classic-bitcoin,3.546000000000018e-05,0.6104816917470341,0.005808528000000001,cryptopia,kraken,0.00578355,0.00581901
26,ethereum-bitcoin,0.0010086299999999965,1.2314879264264582,0.08190336083333331,cryptopia,bittrex,0.08118139,0.08219002
27,gnosis-ethereum,0.006452169999999979,0.6218343217882535,1.03760274625,poloniex,kraken,1.00999983,1.016452
28,nexium-bitcoin,3.9999999999999617e-07,0.5505660507208923,7.265249999999999e-05,bittrex,poloniex,7.25e-05,7.29e-05
29,siacoin-bitcoin,1.6000000000000016e-07,4.3956043956043995,3.6400000000000003e-06,bittrex,cryptopia,3.56e-06,3.72e-06
30,steem-bitcoin,7.410000000000012e-06,1.3093646371416645,0.0005659233333333333,poloniex,hitbtc,0.00056259,0.00057
31,vcash-bitcoin,9.360000000000005e-06,7.91878172588833,0.0001182,poloniex,bittrex,0.00011266,0.00012202
32,litecoin-ethereum,4.85010696,184.41109310086054,2.6300516299999996,bittrex,xbtce,0.19989304,5.05
33,bytecoin-bitcoin,1.1749999999999993e-07,22.525400984088428,5.216333333333333e-07,hitbtc,poloniex,4.825e-07,6e-07
34,lisk-bitcoin,3.9600000000000095e-06,0.5161727614591017,0.000767185,bittrex,poloniex,0.000765,0.00076896
35,steem-bitcoin,1.064000000000002e-05,1.8842085379675138,0.0005646933333333334,poloniex,hitbtc,0.00055936,0.00057
36,eos-ethereum,4.99999999999997e-05,0.603534903932328,0.008284525,bitfinex,kraken,0.00825,0.0083
37,iconomi-bitcoin,1.2000000000000075e-05,1.0450685826257415,0.00114825,hitbtc,kraken,0.0012,0.001212
38,bytecoin-bitcoin,1.2369999999999998e-07,23.77855380770832,5.202166666666667e-07,hitbtc,poloniex,4.763e-07,6e-07
39,namecoin-bitcoin,6.139999999999965e-06,0.7516879311646426,0.0008168283333333334,cryptopia,poloniex,0.00081601,0.00082215
40,nexium-bitcoin,6.200000000000042e-07,0.8536417458350601,7.263e-05,bittrex,poloniex,7.25e-05,7.312e-05
41,nxt-bitcoin,3.000000000000005e-07,0.6621054954756137,4.530999999999999e-05,poloniex,hitbtc,4.519e-05,4.549e-05
42,peercoin-bitcoin,4.0199999999999785e-06,0.5491381297543705,0.0007320562499999999,bittrex,cryptopia,0.00072709,0.00073111
43,pinkcoin-bitcoin,5.999999999999943e-08,1.176855181431829,5.098333333333334e-06,cryptopia,poloniex,5.09e-06,5.15e-06
44,siacoin-bitcoin,1.4999999999999983e-07,4.132231404958674,3.6299999999999995e-06,bittrex,cryptopia,3.57e-06,3.72e-06
45,steem-bitcoin,1.299999999999999e-05,2.3101801940551345,0.0005627266666666667,bittrex,hitbtc,0.000557,0.00057
46,vcash-bitcoin,7.510000000000001e-06,6.373994780283902,0.00011782249999999999,poloniex,bittrex,0.00011272,0.00012023
47,litecoin-ethereum,4.87199993,184.6592887497176,2.63837252,bittrex,xbtce,0.19800007,5.07
48,namecoin-bitcoin,6.139999999999965e-06,0.7517094043253855,0.000816805,cryptopia,poloniex,0.00081601,0.00082215
49,peercoin-bitcoin,4.189999999999945e-06,0.572599931670645,0.00073175,bittrex,cryptopia,0.00072709,0.00073128
