,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
0,burst-bitcoin,1.7999999999999997e-07,4.554079696394686,3.9525e-06,poloniex,bittrex,3.87e-06,4.05e-06
1,bytecoin-bitcoin,1.5000000000000005e-07,28.212281746653716,5.316833333333333e-07,cryptopia,poloniex,4.8e-07,6.3e-07
2,maidsafecoin-bitcoin,1.1700000000000176e-06,0.8524383135807395,0.00013725333333333334,poloniex,cryptopia,0.00013659,0.00013776
3,navcoin-bitcoin,6.800000000000003e-07,0.6621441786490962,0.00010269666666666668,poloniex,cryptopia,0.0001023,0.00010298
4,pascalcoin-bitcoin,3.713000000000002e-05,17.2820256228255,0.0002148475,poloniex,cryptopia,0.00019265,0.00022978
5,steem-bitcoin,6.009999999999978e-06,1.0311577791503637,0.0005828399999999999,hitbtc,poloniex,0.00058,0.00058601
6,vcash-bitcoin,7.049999999999995e-06,5.912693420556041,0.00011923499999999999,poloniex,bittrex,0.00011495,0.000122
7,litecoin-ethereum,4.8656501,184.55535916659213,2.63641767,bittrex,xbtce,0.1970099,5.06266
8,litecoin-bitcoin,0.00015582999999999916,0.9532103661288647,0.016347912857142856,bittrex,kraken,0.01631517,0.016471
9,bytecoin-bitcoin,1.4000000000000004e-07,26.370314560180834,5.309e-07,cryptopia,poloniex,4.8e-07,6.2e-07
10,steem-bitcoin,5.070000000000031e-06,0.8715708043836454,0.0005817083333333334,hitbtc,poloniex,0.00058,0.00058507
11,zcash-bitcoin,0.0008058699999999863,1.0475088534842736,0.07693204666666667,hitbtc,cryptopia,0.076758,0.07756387
12,iconomi-bitcoin,6.000000000000016e-05,5.207203297895435,0.00115225,kraken,hitbtc,0.00112,0.00118
