,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
0,iconomi-bitcoin,7.300000000000015e-05,6.3727629855958225,0.0011455,kraken,hitbtc,0.001107,0.00118
1,burst-bitcoin,8.000000000000008e-08,1.980198019801982,4.04e-06,poloniex,bittrex,4e-06,4.08e-06
2,bytecoin-bitcoin,1.6650000000000002e-07,31.17393746489422,5.341e-07,hitbtc,poloniex,4.735e-07,6.4e-07
3,ethereum classic-bitcoin,3.228999999999992e-05,0.5505712197718654,0.005864818,cryptopia,bitfinex,0.00584811,0.0058804
4,pascalcoin-bitcoin,2.9329999999999992e-05,13.889283515650893,0.00021117,poloniex,cryptopia,0.00019298,0.00022231
5,pinkcoin-bitcoin,4.999999999999952e-08,0.995024875621881,5.025e-06,cryptopia,poloniex,5e-06,5.05e-06
6,siacoin-bitcoin,1.199999999999997e-07,3.173204054649617,3.7816666666666667e-06,bittrex,cryptopia,3.72e-06,3.84e-06
7,steem-bitcoin,6.200000000000042e-06,1.0559452270991951,0.0005871516666666666,bittrex,hitbtc,0.0005838,0.00059
8,vcash-bitcoin,6.999999999999994e-06,5.857863135212029,0.00011949749999999999,poloniex,bittrex,0.000115,0.000122
9,vericoin-bitcoin,2.46e-06,2.226345083487941,0.00011049499999999999,bittrex,cryptopia,0.00010954,0.000112
