,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
0,iconomi-bitcoin,6.000000000000016e-05,5.206073752711511,0.0011524999999999999,kraken,hitbtc,0.00112,0.00118
1,burst-bitcoin,2.6999999999999996e-07,6.990291262135921,3.8625e-06,poloniex,bittrex,3.73e-06,4e-06
2,bytecoin-bitcoin,1.3000000000000003e-07,24.541421514646196,5.297166666666667e-07,cryptopia,poloniex,4.8e-07,6.1e-07
3,zcash-bitcoin,0.0006246000000000029,0.8129442962329487,0.07683183249999999,hitbtc,cryptopia,0.076393,0.0770176
4,litecoin-tether,0.3686034300000003,0.8166225532241965,45.13755204833333,cryptopia,poloniex,44.95904095,45.32764438
5,maidsafecoin-bitcoin,1.259999999999998e-06,0.9194507619522504,0.00013703833333333335,poloniex,cryptopia,0.0001365,0.00013776
6,pascalcoin-bitcoin,3.6809999999999995e-05,17.114164167654646,0.00021508499999999998,poloniex,cryptopia,0.000193,0.00022981
7,siacoin-bitcoin,1.2000000000000012e-07,3.202846975088971,3.746666666666667e-06,bittrex,cryptopia,3.69e-06,3.81e-06
8,steem-bitcoin,1.2529999999999963e-05,2.140819081139258,0.00058529,hitbtc,poloniex,0.00058,0.00059253
9,vcash-bitcoin,7.93e-06,6.668628852541731,0.000118915,poloniex,bittrex,0.00011407,0.000122
