,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
0,litecoin-ethereum,4.846002,184.52264291371563,2.6262370424999997,bittrex,xbtce,0.198998,5.045
1,bytecoin-bitcoin,1.5e-07,29.19613313436709,5.137666666666667e-07,cryptopia,poloniex,4.6e-07,6.1e-07
2,litecoin-bitcoin,8.499000000000007e-05,0.5244661617593708,0.016205049285714288,bittrex,cryptopia,0.01616,0.01624499
3,steem-bitcoin,1.2049999999999995e-05,2.1367142477169954,0.00056395,bittrex,hitbtc,0.00055795,0.00057
4,zcash-bitcoin,0.0006491700000000045,0.856730582215833,0.07577294583333334,hitbtc,cryptopia,0.075613,0.07626217
5,ethereum classic-bitcoin,3.0259999999999836e-05,0.5202322374473314,0.005816633,cryptopia,poloniex,0.00580273,0.00583299
6,gnosis-bitcoin,0.0010827100000000006,1.3167959142560828,0.082223068,cryptopia,bittrex,0.08180629,0.082889
7,augur-bitcoin,4.052999999999956e-05,0.5251545872797343,0.0077177275,poloniex,cryptopia,0.00769376,0.00773429
8,dogecoin-bitcoin,1.000000000000001e-08,1.3800717637317155,7.246e-07,bittrex,kraken,7.2e-07,7.3e-07
9,burst-bitcoin,1.1000000000000064e-07,2.7603513174404175,3.985e-06,poloniex,bittrex,3.93e-06,4.04e-06
10,bytecoin-bitcoin,1.2999999999999997e-07,25.38566686194102,5.121e-07,cryptopia,poloniex,4.7e-07,6e-07
11,augur-bitcoin,4.827000000000043e-05,0.6233673654205508,0.0077434275,bittrex,cryptopia,0.00772999,0.00777826
12,ethereum classic-bitcoin,0.00010820000000000014,1.8597417812132415,0.005818012,cryptopia,poloniex,0.0057386,0.0058468
13,ethereum-bitcoin,0.0012300000000000089,1.5012199897013974,0.08193336142857144,cryptopia,kraken,0.08095,0.08218
14,lisk-bitcoin,3.999999999999989e-06,0.5162422724984822,0.0007748299999999999,bittrex,hitbtc,0.0007706,0.0007746
15,vcash-bitcoin,1.1949999999999992e-05,10.065912776128197,0.0001187175,poloniex,bittrex,0.00011109,0.00012304
16,litecoin-ethereum,4.833753,184.38254493728112,2.6215892625,bittrex,xbtce,0.198997,5.03275
17,litecoin-bitcoin,0.0002971499999999995,1.8259733015762039,0.01627351285714286,cryptopia,poloniex,0.01602784,0.01632499
18,bytecoin-bitcoin,1.3000000000000003e-07,24.854220437816657,5.2305e-07,cryptopia,poloniex,4.8e-07,6.1e-07
