,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
0,bytecoin-bitcoin,1.1249999999999998e-07,21.67630057803468,5.189999999999999e-07,hitbtc,poloniex,4.775e-07,5.9e-07
1,iconomi-bitcoin,3.900000000000019e-05,3.1973765115802575,0.00121975,hitbtc,kraken,0.0012,0.001239
2,zcash-bitcoin,0.0005357400000000068,0.6997942845061033,0.07655678416666667,bittrex,cryptopia,0.07599979,0.07653553
3,burst-bitcoin,6.999999999999975e-08,1.8396846254927661,3.805e-06,poloniex,bittrex,3.77e-06,3.84e-06
4,bytecoin-bitcoin,1.1199999999999994e-07,21.566802528964335,5.193166666666666e-07,hitbtc,poloniex,4.78e-07,5.9e-07
5,dash-bitcoin,0.0006600000000000078,0.9326812948979791,0.07076372214285713,bitfinex,kraken,0.070462,0.071122
6,digibyte-bitcoin,7.000000000000018e-08,1.0398613518197601,6.731666666666666e-06,cryptopia,poloniex,6.75e-06,6.82e-06
7,augur-bitcoin,7.078000000000032e-05,0.9205633670925301,0.00768877,cryptopia,kraken,0.00766922,0.00774
8,pinkcoin-bitcoin,6.999999999999933e-08,1.371652514696264,5.103333333333333e-06,cryptopia,poloniex,5.09e-06,5.16e-06
9,vcash-bitcoin,7.549999999999994e-06,6.40944012903773,0.000117795,poloniex,bittrex,0.00011272,0.00012027
10,vericoin-bitcoin,1.6999999999999871e-06,1.5961442163244748,0.00010650666666666667,poloniex,cryptopia,0.00010599,0.00010769
11,litecoin-ethereum,4.86297882,184.76291028337334,2.632010295,bittrex,xbtce,0.19968118,5.06266
12,namecoin-bitcoin,6.27000000000006e-06,0.7611486424968663,0.0008237549999999999,xbtce,poloniex,0.00082,0.00082627
13,bytecoin-bitcoin,1.1219999999999996e-07,21.62613640014134,5.188166666666666e-07,hitbtc,poloniex,4.778e-07,5.9e-07
14,steem-bitcoin,1.0000000000000026e-05,1.7361914903467799,0.0005759733333333333,poloniex,hitbtc,0.00057,0.00058
15,iconomi-bitcoin,7.000000000000062e-06,0.5473025801407398,0.001279,kraken,hitbtc,0.001273,0.00128
16,ethereum classic-bitcoin,3.880000000000029e-05,0.6689349538340109,0.005800265,cryptopia,kraken,0.00576932,0.00580812
17,dash-bitcoin,0.00036602000000000856,0.5158993006704753,0.0709479542857143,cryptopia,bitfinex,0.07069798,0.071064
18,eos-bitcoin,4.109999999999986e-06,0.5936947022498265,0.0006922749999999999,kraken,bitfinex,0.00069,0.00069411
19,dash-bitcoin,0.00036502000000000756,0.5145323460304138,0.07094209,cryptopia,bitfinex,0.07069798,0.071063
20,ethereum classic-bitcoin,4.658000000000006e-05,0.8026783055595392,0.005803071999999999,cryptopia,bitfinex,0.00576932,0.0058159
21,iconomi-bitcoin,2.1999999999999884e-05,1.7120622568093298,0.001285,kraken,hitbtc,0.001273,0.001295
22,bytecoin-bitcoin,1.1219999999999996e-07,21.61988567024214,5.189666666666666e-07,hitbtc,poloniex,4.778e-07,5.9e-07
23,dash-bitcoin,0.0003710199999999997,0.5232026244056693,0.07091325285714285,cryptopia,bitfinex,0.07069798,0.071069
24,decred-bitcoin,5.2800000000000416e-05,0.527087786737091,0.010017306666666668,cryptopia,poloniex,0.01002221,0.01007501
25,dnotes-bitcoin,3.5999999999999994e-07,1.340407707344317,2.6857499999999998e-05,poloniex,cryptopia,2.664e-05,2.7e-05
26,namecoin-bitcoin,1.3170000000000065e-05,1.5971767445244929,0.0008245800000000001,xbtce,cryptopia,0.00082,0.00083317
27,pascalcoin-bitcoin,3.7199999999999983e-06,1.95280716029292,0.000190495,poloniex,cryptopia,0.00018765,0.00019137
28,pinkcoin-bitcoin,5.999999999999943e-08,1.1760862463247193,5.101666666666666e-06,cryptopia,poloniex,5.09e-06,5.15e-06
