,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
0,ethereum-bitcoin,0.0009755999999999931,1.1869239295722585,0.08219566357142856,cryptopia,bitfinex,0.0815204,0.082496
1,litecoin-ethereum,4.8631600100000005,184.7677073223839,2.6320400250000002,bittrex,xbtce,0.19949999,5.06266
2,litecoin-bitcoin,0.00012070000000000136,0.7405176340089182,0.016299409285714286,cryptopia,poloniex,0.01620742,0.01632812
3,bytecoin-bitcoin,1.2000000000000002e-07,23.067311697049306,5.202166666666667e-07,cryptopia,poloniex,4.8e-07,6e-07
4,ethereum-bitcoin,0.0005199999999999927,0.6319541870714862,0.08228444571428573,cryptopia,bittrex,0.082,0.08252
5,litecoin-bitcoin,0.00011304999999999996,0.6936523295489754,0.01629779,cryptopia,poloniex,0.01620742,0.01632047
6,nxt-bitcoin,3.6000000000000333e-07,0.786741941358594,4.575833333333333e-05,bittrex,hitbtc,4.564e-05,4.6e-05
7,iconomi-bitcoin,2.499999999999985e-05,1.9500780031201128,0.0012820000000000002,kraken,hitbtc,0.00127,0.001295
8,litecoin-bitcoin,0.00012757000000000046,0.7813809790314578,0.016326222857142855,cryptopia,poloniex,0.01624274,0.01637031
9,dash-bitcoin,0.0005460099999999996,0.7618255908993363,0.07167125999999999,cryptopia,poloniex,0.07143892,0.07198493
10,dash-bitcoin,0.0005460300000000029,0.7611153323277725,0.07174077,cryptopia,poloniex,0.07143892,0.07198495
11,iconomi-bitcoin,2.1999999999999884e-05,1.714731098986741,0.0012829999999999999,kraken,hitbtc,0.001273,0.001295
12,zcash-bitcoin,0.0004375900000000016,0.5699830258145752,0.07677246166666668,bittrex,cryptopia,0.07640345,0.07684104
13,burst-bitcoin,5.000000000000037e-08,1.3020833333333428,3.8400000000000005e-06,poloniex,bittrex,3.81e-06,3.86e-06
14,bytecoin-bitcoin,1.0909999999999994e-07,20.969343626869964,5.202833333333333e-07,hitbtc,poloniex,4.809e-07,5.9e-07
15,dash-bitcoin,0.0010617800000000122,1.4764253627703083,0.07191558928571429,cryptopia,poloniex,0.07118825,0.07225003
16,digibyte-bitcoin,3.999999999999962e-08,0.5704777751366715,7.011666666666667e-06,bittrex,poloniex,6.96e-06,7e-06
17,gamecredits-bitcoin,8.799999999999997e-06,0.9811737290734037,0.000896885,cryptopia,poloniex,0.00089646,0.00090526
18,zcash-bitcoin,0.00043887000000000786,0.5714264199620152,0.07680253916666667,bittrex,cryptopia,0.07640216,0.07684103
19,augur-bitcoin,4.739000000000045e-05,0.6118285672879957,0.00774563375,cryptopia,poloniex,0.00773617,0.00778356
20,maidsafecoin-bitcoin,8.700000000000103e-07,0.6476667866049681,0.00013432833333333334,poloniex,cryptopia,0.00013382,0.00013469
21,pascalcoin-bitcoin,1.6129999999999996e-05,7.930674205641938,0.0002033875,poloniex,cryptopia,0.00019278,0.00020891
22,pinkcoin-bitcoin,6.999999999999933e-08,1.3738959764474843,5.095e-06,cryptopia,poloniex,5.09e-06,5.16e-06
23,siacoin-bitcoin,5.999999999999985e-08,1.6267510167193813,3.6883333333333333e-06,bittrex,poloniex,3.67e-06,3.73e-06
24,vcash-bitcoin,8.249999999999997e-06,7.0482699700982465,0.00011705,poloniex,bittrex,0.00011196,0.00012021
25,vericoin-bitcoin,1.3999999999999934e-06,1.3103502066921395,0.00010684166666666667,bittrex,cryptopia,0.00010629,0.00010769
26,dash-bitcoin,0.0006680900000000101,0.9175122158995378,0.07281537928571427,cryptopia,bittrex,0.07242449,0.07309258
27,litecoin-ethereum,4.88597105,184.50073528141832,2.6482122375,bittrex,xbtce,0.19948895,5.08546
