,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
0,ethereum-bitcoin,0.0008191899999999974,0.9992642743326161,0.08197931428571428,cryptopia,xbtce,0.08154081,0.08236
1,blackcoin-bitcoin,5.599999999999946e-07,0.5364584164897047,0.00010438833333333335,bittrex,poloniex,0.0001039,0.00010446
2,burst-bitcoin,1.3000000000000003e-07,3.376623376623377,3.85e-06,poloniex,bittrex,3.78e-06,3.91e-06
3,bytecoin-bitcoin,1.3719999999999998e-07,26.34408602150537,5.208000000000001e-07,hitbtc,poloniex,4.728e-07,6.1e-07
4,gamecredits-bitcoin,5.830000000000071e-06,0.6425906433070901,0.000907265,bittrex,poloniex,0.00090617,0.000912
5,ethereum-bitcoin,0.0007485400000000059,0.9144159716784478,0.08185990000000001,cryptopia,kraken,0.08130446,0.082053
6,ethereum-tether,2.0320000000000107,0.9018238410735107,225.32116666833335,cryptopia,bittrex,225.0,227.032
7,monero-bitcoin,0.00016691000000000102,1.067062523784118,0.0156420075,cryptopia,bittrex,0.01553441,0.01570132
8,pinkcoin-bitcoin,9.999999999999989e-08,1.957585644371939,5.108333333333333e-06,cryptopia,poloniex,5.09e-06,5.19e-06
9,siacoin-bitcoin,3.0000000000000136e-08,0.8130081300813046,3.69e-06,cryptopia,poloniex,3.68e-06,3.71e-06
10,vcash-bitcoin,9.689999999999997e-06,8.267741729058677,0.0001172025,poloniex,bittrex,0.00011133,0.00012102
11,litecoin-ethereum,4.86327302,184.37046576427917,2.63777227,bittrex,xbtce,0.19938698,5.06266
12,bytecoin-bitcoin,1.443e-07,27.497935590421136,5.247666666666667e-07,hitbtc,poloniex,4.757e-07,6.2e-07
13,litecoin-bitcoin,8.44499999999998e-05,0.5205284479825515,0.016223897142857144,bitfinex,bittrex,0.016201,0.01628545
14,zcash-bitcoin,0.0005443900000000057,0.7183928238575799,0.07577887500000001,cryptopia,bittrex,0.07544268,0.07598707
15,iconomi-bitcoin,3.000000000000008e-05,2.1711597611724316,0.0013817500000000002,kraken,hitbtc,0.00132,0.00135
16,zcash-bitcoin,0.0005195999999999951,0.684862391614111,0.07586925583333333,cryptopia,poloniex,0.07544268,0.07596228
17,eos-bitcoin,3.500000000000031e-06,0.5237070981015665,0.0006683125,bitfinex,kraken,0.0006675,0.000671
18,dash-bitcoin,0.001078760000000012,1.4009821134484686,0.07700026928571428,poloniex,cryptopia,0.0768,0.07787876
19,eos-ethereum,0.00012099999999999958,1.5196661758102998,0.007962275000000001,bitfinex,kraken,0.0079,0.008021
20,iconomi-bitcoin,0.00021999999999999993,15.387305472984783,0.00142975,kraken,hitbtc,0.00132,0.00154
21,zcash-bitcoin,0.0009070600000000012,1.1947155313534967,0.07592267583333333,cryptopia,poloniex,0.07544268,0.07634974
22,blackcoin-bitcoin,6.800000000000003e-07,0.6473518865230224,0.00010504333333333334,bittrex,poloniex,0.00010455,0.00010523
23,bytecoin-bitcoin,1.3999999999999998e-07,27.045300878972277,5.176499999999999e-07,cryptopia,poloniex,4.7e-07,6.1e-07
24,digibyte-bitcoin,5.000000000000037e-08,0.6591957811470056,7.584999999999999e-06,bittrex,cryptopia,7.55e-06,7.6e-06
25,zcash-bitcoin,0.0007652200000000109,1.0142444470673349,0.075447295,cryptopia,bittrex,0.07483485,0.07560007
26,dnotes-bitcoin,5.399999999999982e-07,2.0429395630379203,2.6432499999999998e-05,cryptopia,poloniex,2.619e-05,2.673e-05
27,ethereum-tether,4.340000000000003,1.90794390469073,227.47,cryptopia,bittrex,225.0,229.34
28,factom-bitcoin,4.144000000000023e-05,0.5013897918458045,0.008265026666666666,bittrex,cryptopia,0.00820001,0.00824145
29,monero-bitcoin,8.58600000000001e-05,0.5420048783174541,0.01584118583333333,cryptopia,poloniex,0.01581414,0.0159
30,vcash-bitcoin,1.8340000000000018e-05,15.22844747057482,0.0001204325,poloniex,bittrex,0.00011146,0.0001298
31,dash-bitcoin,0.0007643100000000042,0.985666932963307,0.07754242071428573,cryptopia,bittrex,0.07707973,0.07784404
32,ethereum-bitcoin,0.0005580099999999977,0.6836290439757388,0.08162467714285715,cryptopia,kraken,0.08129999,0.081858
33,litecoin-ethereum,4.82198003,184.46466174331107,2.6140399925000004,bittrex,xbtce,0.19849997,5.02048
34,bytecoin-bitcoin,1.3999999999999998e-07,27.043559447538712,5.176833333333333e-07,cryptopia,poloniex,4.7e-07,6.1e-07
35,emercoin-bitcoin,4.829999999999993e-06,1.271316095111814,0.00037992125,bittrex,cryptopia,0.00037018,0.00037501
36,ethereum-bitcoin,0.0005110099999999923,0.6266592700012509,0.08154511142857143,cryptopia,bitfinex,0.08129999,0.081811
37,zcash-bitcoin,0.0004651500000000114,0.6182747747879621,0.07523354,cryptopia,poloniex,0.07483485,0.0753
38,iconomi-bitcoin,1.9999999999999836e-05,1.5220700152206879,0.0013139999999999998,hitbtc,kraken,0.00135,0.00137
39,zcash-bitcoin,0.0004627900000000046,0.615078296420922,0.0752408275,cryptopia,poloniex,0.07483485,0.07529764
40,ethereum-bitcoin,0.0006135000000000029,0.7477290765398815,0.08204843428571429,cryptopia,poloniex,0.0817365,0.08235
41,iconomi-bitcoin,3.4999999999999875e-05,2.645502645502636,0.0013230000000000002,hitbtc,kraken,0.00135,0.001385
42,zcash-bitcoin,0.0006681500000000062,0.8865358307789404,0.07536638416666668,cryptopia,kraken,0.07483485,0.075503
43,burst-bitcoin,3.999999999999962e-08,1.0464355788096693,3.8225e-06,poloniex,bittrex,3.8e-06,3.84e-06
44,bytecoin-bitcoin,1.274e-07,24.466280446820083,5.207166666666668e-07,hitbtc,poloniex,4.726e-07,6e-07
45,dash-bitcoin,0.00039885000000000614,0.5176762199695792,0.07704622785714287,poloniex,bitfinex,0.07670015,0.077099
46,monero-bitcoin,0.00015736000000000222,0.9903003200886643,0.01589012916666667,cryptopia,bittrex,0.01578408,0.01594144
47,nxt-bitcoin,2.2000000000000128e-07,0.5003980438985587,4.3965e-05,bittrex,hitbtc,4.374e-05,4.396e-05
48,peercoin-bitcoin,5.000000000000013e-06,0.6876243095822184,0.00072714125,poloniex,bittrex,0.00072928,0.00073428
49,pinkcoin-bitcoin,5.999999999999943e-08,1.15236875800255,5.206666666666666e-06,poloniex,bittrex,5.2e-06,5.26e-06
50,potcoin-bitcoin,2.499999999999993e-07,0.5952144756160453,4.200166666666667e-05,poloniex,bittrex,4.188e-05,4.213e-05
51,steem-bitcoin,9.989999999999977e-06,1.7645811989967106,0.00056614,poloniex,hitbtc,0.00056001,0.00057
52,vcash-bitcoin,1.1599999999999997e-05,9.775418194075757,0.000118665,poloniex,bittrex,0.00011141,0.00012301
