,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
0,iconomi-bitcoin,4.9e-05,4.223227752639517,0.0011602499999999998,kraken,hitbtc,0.001131,0.00118
1,augur-bitcoin,8.690999999999994e-05,1.147313858524359,0.0075750850000000005,poloniex,cryptopia,0.00755375,0.00764066
2,blackcoin-bitcoin,5.899999999999927e-07,0.5462962962962894,0.00010800000000000001,poloniex,bittrex,0.00010765,0.00010824
3,burst-bitcoin,1.7000000000000007e-07,4.361770365618989,3.8974999999999995e-06,poloniex,bittrex,3.82e-06,3.99e-06
4,bytecoin-bitcoin,1.3000000000000003e-07,24.340011233851342,5.341e-07,cryptopia,poloniex,4.9e-07,6.2e-07
5,augur-bitcoin,8.71299999999995e-05,1.15045883673334,0.0075735,poloniex,cryptopia,0.00755353,0.00764066
6,bitcrystals-bitcoin,1.200000000000002e-06,0.7712701855868898,0.0001555875,poloniex,bittrex,0.00015492,0.00015612
7,decred-bitcoin,0.00010490999999999973,1.0134692912171284,0.010351571666666665,poloniex,cryptopia,0.01028399,0.0103889
8,maidsafecoin-bitcoin,9.400000000000012e-07,0.6857392974819759,0.00013707833333333333,poloniex,cryptopia,0.00013682,0.00013776
9,pascalcoin-bitcoin,3.584000000000001e-05,16.785312851255156,0.00021352000000000003,poloniex,cryptopia,0.00019396,0.0002298
10,siacoin-bitcoin,6.999999999999975e-08,1.8510356985456085,3.7816666666666663e-06,bittrex,cryptopia,3.74e-06,3.81e-06
11,vcash-bitcoin,9.399999999999998e-06,7.947243828204259,0.00011828,poloniex,bittrex,0.0001126,0.000122
12,vericoin-bitcoin,7.999999999999923e-07,0.730838332470531,0.00010946333333333334,cryptopia,poloniex,0.000109,0.0001098
13,litecoin-ethereum,4.86566001,184.56432283238817,2.6362949975000003,bittrex,xbtce,0.19699999,5.06266
14,bytecoin-bitcoin,1.24e-07,23.45745183970741,5.286166666666667e-07,hitbtc,poloniex,4.86e-07,6.1e-07
15,ethereum-bitcoin,0.0004964699999999989,0.5998285375707356,0.08276865285714285,cryptopia,hitbtc,0.08250453,0.083001
16,monero-bitcoin,9.896000000000037e-05,0.6374006215235772,0.0155255575,cryptopia,hitbtc,0.01541504,0.015514
17,waves-bitcoin,2.0260000000000026e-05,1.5073843979018655,0.00134405,bittrex,hitbtc,0.00127974,0.0013
18,iconomi-bitcoin,3.500000000000009e-05,3.002358996354286,0.0011657500000000001,kraken,hitbtc,0.001145,0.00118
19,ethereum-bitcoin,0.0004954699999999979,0.5991584169281311,0.08269432357142857,cryptopia,hitbtc,0.08250453,0.083
20,monero-bitcoin,0.00011596000000000002,0.7471787895555413,0.0155197125,cryptopia,kraken,0.01541504,0.015531
21,ethereum-bitcoin,0.0005154699999999901,0.6226742513845461,0.08278325285714284,cryptopia,bittrex,0.08250453,0.08302
22,iconomi-bitcoin,3.399999999999996e-05,2.9147021003000395,0.0011665,kraken,hitbtc,0.001146,0.00118
23,augur-bitcoin,8.846999999999935e-05,1.1674491888425182,0.00757806,poloniex,cryptopia,0.00755877,0.00764724
24,monero-bitcoin,9.508999999999906e-05,0.6129791518435165,0.015512762499999997,cryptopia,kraken,0.01541491,0.01551
25,burst-bitcoin,9.999999999999989e-08,2.5380710659898447,3.94e-06,poloniex,bittrex,3.89e-06,3.99e-06
26,bytecoin-bitcoin,1.2000000000000002e-07,22.65504546741764,5.296833333333334e-07,cryptopia,poloniex,4.9e-07,6.1e-07
27,ardor-bitcoin,3.100000000000021e-07,0.604575269621072,5.127566666666666e-05,poloniex,bittrex,5.228e-05,5.259e-05
28,augur-bitcoin,8.411999999999916e-05,1.1094458359594142,0.007582163750000001,poloniex,cryptopia,0.00756312,0.00764724
29,decred-bitcoin,5.627999999999883e-05,0.5419939367558064,0.01038388,bittrex,cryptopia,0.01033262,0.0103889
30,dnotes-bitcoin,2.199999999999979e-07,0.8177678654400071,2.69025e-05,poloniex,cryptopia,2.682e-05,2.704e-05
31,maidsafecoin-bitcoin,1.910000000000014e-06,1.398294227460752,0.000136595,poloniex,cryptopia,0.00013585,0.00013776
32,monero-bitcoin,0.00013774999999999898,0.8865541592074215,0.015537685833333334,cryptopia,poloniex,0.01541487,0.01555262
33,nexium-bitcoin,9.900000000000024e-07,1.3898150422910924,7.123249999999999e-05,poloniex,bittrex,7.096e-05,7.195e-05
34,pascalcoin-bitcoin,2.9520000000000002e-05,13.959756933771548,0.000211465,poloniex,cryptopia,0.00019301,0.00022253
35,siacoin-bitcoin,5.999999999999985e-08,1.5943312666076133,3.7633333333333334e-06,bittrex,cryptopia,3.74e-06,3.8e-06
36,vcash-bitcoin,9.359999999999992e-06,7.9438161719462705,0.0001178275,poloniex,bittrex,0.00011264,0.000122
37,litecoin-ethereum,4.870559999999999,184.65808061085602,2.63761,bittrex,xbtce,0.1957,5.06626
38,bytecoin-bitcoin,1.24e-07,23.460410557184748,5.285500000000001e-07,hitbtc,poloniex,4.86e-07,6.1e-07
39,lisk-bitcoin,5.120000000000059e-06,0.6752523953655608,0.0007582349999999999,bittrex,poloniex,0.0007549,0.00076002
40,monero-bitcoin,9.51900000000002e-05,0.6155695311512319,0.015463728333333331,cryptopia,bittrex,0.01541481,0.01551
41,iconomi-bitcoin,2.0000000000000052e-05,1.7046665246111272,0.00117325,kraken,hitbtc,0.00116,0.00118
42,monero-bitcoin,8.519000000000061e-05,0.5510348694442827,0.015460001666666669,cryptopia,bittrex,0.01541481,0.0155
43,iconomi-bitcoin,1.0000000000000026e-05,0.8474576271186464,0.00118,kraken,hitbtc,0.00117,0.00118
44,burst-bitcoin,1.299999999999996e-07,3.3099936346276158,3.9275e-06,poloniex,bittrex,3.86e-06,3.99e-06
45,bytecoin-bitcoin,1.2000000000000002e-07,22.627989565982592,5.303166666666666e-07,cryptopia,poloniex,4.9e-07,6.1e-07
46,augur-bitcoin,4.9729999999999566e-05,0.6484239568725647,0.007669365,cryptopia,poloniex,0.00766922,0.00771895
47,litecoin-tether,0.3253853100000015,0.724129856874541,44.93466288,cryptopia,bittrex,44.77527988,45.10066519
48,maidsafecoin-bitcoin,1.9300000000000035e-06,1.412729202503388,0.000136615,poloniex,cryptopia,0.00013583,0.00013776
49,monero-bitcoin,8.519000000000061e-05,0.5499364787539547,0.015490879999999999,cryptopia,kraken,0.01541481,0.0155
50,pascalcoin-bitcoin,2.46e-05,11.807197110596482,0.00020834749999999998,poloniex,cryptopia,0.00019482,0.00021942
51,peercoin-bitcoin,3.789999999999935e-06,0.5160394314035094,0.00073444,poloniex,bittrex,0.00073267,0.00073646
52,siacoin-bitcoin,4.000000000000004e-08,1.085481682496609,3.685e-06,poloniex,cryptopia,3.66e-06,3.7e-06
53,steem-bitcoin,1.0020000000000016e-05,1.711323714016518,0.0005855116666666667,bittrex,hitbtc,0.00057998,0.00059
54,vcash-bitcoin,9.35000000000001e-06,7.918360433604345,0.00011808000000000001,poloniex,bittrex,0.00011266,0.00012201
55,viacoin-bitcoin,2.1699999999999606e-06,0.5366140150227098,0.00040438750000000004,bittrex,poloniex,0.00040471,0.00040688
