,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
0,emercoin-bitcoin,5.9429999999999965e-05,15.293705146474595,0.00038859125,bittrex,xbtce,0.00037057,0.00043
1,litecoin-ethereum,4.77623,184.1358012704969,2.5938627724999996,bittrex,xbtce,0.20177,4.978
2,namecoin-bitcoin,4.830000000000047e-06,0.5977032355998539,0.0008080933333333334,cryptopia,poloniex,0.0008076,0.00081243
3,bytecoin-bitcoin,1.5120000000000003e-07,28.55883649184664,5.294333333333333e-07,hitbtc,poloniex,4.788e-07,6.3e-07
4,dash-bitcoin,0.0009259699999999982,1.218141991941113,0.07601494785714284,cryptopia,bittrex,0.07545403,0.07638
5,emercoin-bitcoin,5.9429999999999965e-05,15.293705146474595,0.00038859125,bittrex,xbtce,0.00037057,0.00043
6,nxt-bitcoin,2.899999999999989e-07,0.6453287838890307,4.493833333333333e-05,hitbtc,bittrex,4.479e-05,4.508e-05
7,monero-bitcoin,0.00012121999999999827,0.7508964980669975,0.01614337,poloniex,cryptopia,0.01611026,0.01623148
8,zcash-bitcoin,0.0003908999999999996,0.5101290268212173,0.0766276725,hitbtc,cryptopia,0.076509,0.0768999
9,iconomi-bitcoin,3.500000000000009e-05,2.4915465385299944,0.00140475,kraken,hitbtc,0.001356,0.001391
10,zcash-bitcoin,0.0006999999999999923,0.9155304271033264,0.07645840916666667,bittrex,cryptopia,0.0761999,0.0768999
11,monero-bitcoin,8.1539999999998e-05,0.5060810357551755,0.01611204416666667,bittrex,cryptopia,0.01605849,0.01614003
12,iconomi-bitcoin,3.200000000000013e-05,2.281233291748361,0.00140275,kraken,hitbtc,0.001359,0.001391
13,zcash-bitcoin,0.001137650000000004,1.4938194721170437,0.0761571275,bittrex,cryptopia,0.07576226,0.07689991
14,bytecoin-bitcoin,1.4000000000000004e-07,26.54447780060042,5.274166666666666e-07,cryptopia,poloniex,4.8e-07,6.2e-07
15,dash-bitcoin,0.000716010000000003,0.9338737726238839,0.07667096142857144,kraken,poloniex,0.076184,0.07690001
16,zcash-bitcoin,0.001137650000000004,1.4945407519458704,0.07612037333333334,bittrex,cryptopia,0.07576226,0.07689991
17,expanse-bitcoin,1.5179999999999946e-05,1.9570640601128872,0.0007756516666666667,cryptopia,bittrex,0.00076882,0.000784
18,primecoin-bitcoin,9.100000000000167e-07,0.5693905643849435,0.00015982,poloniex,cryptopia,0.00015909,0.00016
19,siacoin-bitcoin,9.999999999999989e-08,2.4691358024691326,4.050000000000001e-06,bittrex,cryptopia,3.98e-06,4.08e-06
20,vcash-bitcoin,1.78e-06,1.5192250245380445,0.00011716500000000001,poloniex,bittrex,0.0001143,0.00011608
21,vericoin-bitcoin,2.660000000000005e-06,2.5047080979284413,0.00010620000000000002,poloniex,cryptopia,0.00010502,0.00010768
22,emercoin-bitcoin,5.5119999999999974e-05,14.128714330571409,0.0003901275,cryptopia,xbtce,0.00037488,0.00043
23,litecoin-ethereum,4.77389401,183.98319153289938,2.594744645,bittrex,xbtce,0.20177599,4.97567
24,bytecoin-bitcoin,1.4000000000000004e-07,26.475872285435127,5.287833333333333e-07,cryptopia,poloniex,4.8e-07,6.2e-07
25,emercoin-bitcoin,5.5119999999999974e-05,14.129212313075346,0.00039011375,cryptopia,xbtce,0.00037488,0.00043
26,nxt-bitcoin,2.499999999999993e-07,0.5560910506413569,4.495666666666666e-05,poloniex,hitbtc,4.495e-05,4.52e-05
27,waves-bitcoin,2.410999999999993e-05,1.8865242492569785,0.0012780116666666667,bittrex,hitbtc,0.00126569,0.0012898
28,iconomi-bitcoin,1.6000000000000172e-05,1.1331444759206921,0.001412,kraken,hitbtc,0.001375,0.001391
29,litecoin-bitcoin,0.00018815999999999972,1.1459704580592993,0.016419271428571434,cryptopia,bittrex,0.01627182,0.01645998
30,monero-bitcoin,8.361999999999953e-05,0.5092106671373207,0.016421494166666665,cryptopia,poloniex,0.01641638,0.0165
31,burst-bitcoin,1.999999999999981e-08,0.5115089514066448,3.91e-06,poloniex,bittrex,3.9e-06,3.92e-06
32,bytecoin-bitcoin,1.4000000000000004e-07,26.42423479820064,5.298166666666667e-07,cryptopia,poloniex,4.8e-07,6.2e-07
33,counterparty-bitcoin,3.227999999999998e-05,0.8320370344117419,0.003879635,poloniex,bittrex,0.00386272,0.003895
34,ethereum classic-bitcoin,3.110999999999999e-05,0.5381670455978504,0.005780733000000001,cryptopia,poloniex,0.00576219,0.0057933
35,expanse-bitcoin,4.549999999999975e-06,0.5885840564868183,0.0007730416666666667,cryptopia,poloniex,0.00076882,0.00077337
36,navcoin-bitcoin,9.600000000000044e-07,0.9182648620211434,0.000104545,poloniex,cryptopia,0.00010402,0.00010498
37,syscoin-bitcoin,3.7000000000000493e-07,0.7523383489223363,4.917999999999999e-05,poloniex,bittrex,4.9e-05,4.937e-05
