,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
38,vcash-bitcoin,1.7500000000000019e-06,1.526884065874143,0.0001146125,poloniex,bittrex,0.00011341,0.00011516
39,vericoin-bitcoin,2.610000000000004e-06,2.460291275863698,0.000106085,poloniex,cryptopia,0.00010507,0.00010768
40,litecoin-ethereum,4.747520000000001,183.73786454735273,2.583855,bittrex,xbtce,0.2025,4.95002
41,bytecoin-bitcoin,1.4000000000000004e-07,26.474203410129544,5.288166666666666e-07,cryptopia,poloniex,4.8e-07,6.2e-07
42,emercoin-bitcoin,2.7600000000000346e-06,0.717964726080858,0.00038442,cryptopia,hitbtc,0.00038624,0.000389
43,zcash-bitcoin,0.0005669100000000038,0.7409122229889116,0.07651513666666666,hitbtc,cryptopia,0.076333,0.07689991
44,waves-bitcoin,3.388000000000002e-05,2.668318833122439,0.0012697133333333334,bittrex,hitbtc,0.00125592,0.0012898
45,iconomi-bitcoin,7.600000000000011e-05,5.178875638841575,0.0014675,kraken,hitbtc,0.001432,0.001508
46,zcash-bitcoin,0.000942109999999996,1.2328492271562697,0.0764172925,bittrex,cryptopia,0.0759578,0.07689991
47,monero-bitcoin,0.00011981000000000144,0.7230486933856614,0.016570114999999996,cryptopia,poloniex,0.01649573,0.01661554
48,dash-bitcoin,0.00044299999999999895,0.587666244308794,0.07538292428571429,xbtce,bitfinex,0.075,0.075443
49,bytecoin-bitcoin,1.4000000000000004e-07,26.459192994613666,5.291166666666667e-07,cryptopia,poloniex,4.8e-07,6.2e-07
50,digibyte-bitcoin,1.8999999999999987e-07,2.421410365335597,7.846666666666667e-06,cryptopia,bittrex,7.72e-06,7.91e-06
51,zcash-bitcoin,0.0008869100000000046,1.1628722888280552,0.07626890833333333,hitbtc,cryptopia,0.076013,0.07689991
52,dnotes-bitcoin,1.5000000000000026e-07,0.5572065378900456,2.692e-05,poloniex,cryptopia,2.685e-05,2.7e-05
53,ethereum classic-bitcoin,3.5860000000000405e-05,0.6207513757450039,0.00577687,cryptopia,poloniex,0.00575,0.00578586
54,ethereum classic-ethereum,0.00035662999999999667,0.5055896646091317,0.07053743875,bittrex,poloniex,0.07050054,0.07085717
55,expanse-bitcoin,9.009999999999943e-06,1.1647674020257313,0.000773545,cryptopia,poloniex,0.00076882,0.00077783
56,lisk-bitcoin,6.189999999999993e-06,0.7397036007273545,0.0008368216666666666,bittrex,poloniex,0.00083366,0.00083985
57,litecoin-bitcoin,0.0001480399999999986,0.9068957657529494,0.016323816428571426,cryptopia,xbtce,0.01622196,0.01637
58,maidsafecoin-bitcoin,1.959999999999988e-06,1.437529795738742,0.000136345,cryptopia,bittrex,0.00013511,0.00013707
59,radium-bitcoin,1.8809999999999964e-05,0.9666167770447768,0.0019459624999999998,poloniex,bittrex,0.00193202,0.00195083
60,vcash-bitcoin,2.47999999999999e-06,2.1251526382313157,0.0001166975,poloniex,bittrex,0.000114,0.00011648
61,vericoin-bitcoin,2.3000000000000017e-06,2.1699136751733588,0.00010599499999999999,poloniex,cryptopia,0.00010538,0.00010768
